Rank,Player,Apps,Span[a],Teams[b],Apps,,,,,,,,,,,,,,,,,
,Lionel Messi,,,Paris Saint-Germain,34,,,,,,,,,,,,,,,,,
32,Graham Alexander,"1,025",1988?2012,Scunthorpe United,202,,,,,,,,,,,,,,,,,
,Graham Alexander,,,Luton Town,183,,,,,,,,,,,,,,,,,
,Graham Alexander,,,Burnley,178,,,,,,,,,,,,,,,,,
,Graham Alexander,,,Preston North End,421,,,,,,,,,,,,,,,,,
33,Andoni Zubizarreta,"1,024",1979?1998,AlavÇs,4,,,,,,,,,,,,,,,,,
,Andoni Zubizarreta,,,Bilbao Athletic,7,,,,,,,,,,,,,,,,,
,Andoni Zubizarreta,,,Athletic Bilbao,239,,,,,,,,,,,,,,,,,
,Andoni Zubizarreta,,,Barcelona,410,,,,,,,,,,,,,,,,,
,Andoni Zubizarreta,,,Valencia,184,,,,,,,,,,,,,,,,,
,Noel Bailie,"1,024",1989?2011,Linfield,"1,013",,,,,,,,,,,,,,,,,
35,David James,"1,023+",1985?2014,Watford,98,,,,,,,,,,,,,,,,,
,David James,,,Liverpool,277,,,,,,,,,,,,,,,,,
,David James,,,Aston Villa,85,,,,,,,,,,,,,,,,,
,David James,,,West Ham United,102,,,,,,,,,,,,,,,,,
,David James,,,Manchester City,100,,,,,,,,,,,,,,,,,
,David James,,,Portsmouth,158,,,,,,,,,,,,,,,,,
,David James,,,Bristol City,84,,,,,,,,,,,,,,,,,
,David James,,,Bournemouth,19,,,,,,,,,,,,,,,,,
,David James,,,?BV,23,,,,,,,,,,,,,,,,,
,David James,,,Kerala Blasters,12,,,,,,,,,,,,,,,,,
36,Timmy Simons,"1,022",1995?2018,KTH Diest,88,,,,,,,,,,,,,,,,,
,Timmy Simons,,,Lommel,74,,,,,,,,,,,,,,,,,
,Timmy Simons,,,PSV Eindhoven,218,,,,,,,,,,,,,,,,,
,Timmy Simons,,,FC NÅrnberg,110,,,,,,,,,,,,,,,,,
,Timmy Simons,,,Club Brugge,438,,,,,,,,,,,,,,,,,
